### Farnhamese
farnhamese;Farnhamese;;;;;;;;;;;;x
farmer;Farmer;;;;;;;;;;;;x
townie;Townie;;;;;;;;;;;;x
haleian;Haleian;;;;;;;;;;;;x
leeman;Leeman;;;;;;;;;;;;x
huntsman;Huntsman;;;;;;;;;;;;x
comptonic;Comptonic;;;;;;;;;;;;x
wreccelshese;Wreccleshese;;;;;;;;;;;;x
rowlegian;Rowlegian;;;;;;;;;;;;x
runfolder;Runfolder;;;;;;;;;;;;x
bournean;Bournean;;;;;;;;;;;;x
sandsman;Sandsman;;;;;;;;;;;;x
### Outsider
outsider;Outsider;;;;;;;;;;;;x
hampshire_hog;Hampshire Hog;;;;;;;;;;;;x
holtish;Holtish;;;;;;;;;;;;x
### Foreigner
foreigner;Foreigner;;;;;;;;;;;;x
roman;Roman;;;;;;;;;;;;x
indian;Indian;;;;;;;;;;;;x
german;German;;;;;;;;;;;;x
### Chav
chav;Chav;;;;;;;;;;;;x
roadman;Roadman;;;;;;;;;;;;x
### Frenshamic
frenshamic;Frenshamic;;;;;;;;;;;;x
spreaker;Spreaker;;;;;;;;;;;;x
frensh;Frensh;;;;;;;;;;;;x
miller;Miller;;;;;;;;;;;;x
rushman;Rushman;;;;;;;;;;;;x
### Dockenfield Group
dockenfield_group;Dockenfielder;;;;;;;;;;;;x
dockenfield_farmer;Dockenfield Farmer;;;;;;;;;;;;x
battsman;Battsman;;;;;;;;;;;;x
dockenfielder;Dockenfielder;;;;;;;;;;;;x
