PROV1;Windamoor;;;;;;;;;;;;x
c_windamoor;Windamoor;;;;;;;;;;;;x
c_windamoor_adj;Windamoor;;;;;;;;;;;;x
PROV2;Upper Hale;;;;;;;;;;;;x
c_upper_hale;Upper Hale;;;;;;;;;;;;x
c_upper_hale_adj;Upper Haleian;;;;;;;;;;;;x
PROV3;Heath End;;;;;;;;;;;;x
c_heath_end;Heath End;;;;;;;;;;;;x
c_heath_end_adj;Heath Ender;;;;;;;;;;;;x
PROV4;Stovold;;;;;;;;;;;;x
c_stovold;Stovold;;;;;;;;;;;;x
c_stovold_adj;Stovoldic;;;;;;;;;;;;x
PROV5;Wimble;;;;;;;;;;;;x
c_wimble;Wimble;;;;;;;;;;;;x
c_wimble_adj;Wimblean;;;;;;;;;;;;x
PROV6;nameofprov;;;;;;;;;;;;x
c_;nameofcount;;;;;;;;;;;;x
c__adj;adjofcount;;;;;;;;;;;;x
PROV7;nameofprov;;;;;;;;;;;;x
c_;nameofcount;;;;;;;;;;;;x
c__adj;adjofcount;;;;;;;;;;;;x
PROV8;nameofprov;;;;;;;;;;;;x
c_;nameofcount;;;;;;;;;;;;x
c__adj;adjofcount;;;;;;;;;;;;x
PROV9;nameofprov;;;;;;;;;;;;x
c_;nameofcount;;;;;;;;;;;;x
c__adj;adjofcount;;;;;;;;;;;;x
PROV10;nameofprov;;;;;;;;;;;;x
c_;nameofcount;;;;;;;;;;;;x
c__adj;adjofcount;;;;;;;;;;;;x
PROV11;nameofprov;;;;;;;;;;;;x
c_;nameofcount;;;;;;;;;;;;x
c__adj;adjofcount;;;;;;;;;;;;x
#### Farnham
PROV12;Babbsmead;;;;;;;;;;;;x
c_babbsmead;Babbsmead;;;;;;;;;;;;x
c_babbsmead_adj;Babbsmeader;;;;;;;;;;;;x
PROV13;The Chantrys;;;;;;;;;;;;x
c_chantrys;The Chantrys;;;;;;;;;;;;x
c_chantrys_adj;Chantryan;;;;;;;;;;;;x
PROV14;Crondall;;;;;;;;;;;;x
c_crondall;Crondall;;;;;;;;;;;;x
c_crondall_adj;Crondan;;;;;;;;;;;;x
PROV15;Bishop's Meadow;;;;;;;;;;;;x
c_bishops_meadow;Bishop's Meadow;;;;;;;;;;;;x
c_bishops_meadow_adj;Bishop's;;;;;;;;;;;;x
PROV16;Maltings;;;;;;;;;;;;x
c_maltings;Maltings;;;;;;;;;;;;x
